key,SourceString
TutorialModeDescKey,"游戏教学模式核心设置：\n\n<Bold>难度级别</>\n- 休闲：敌人攻击频率降低60%，资源生成率翻倍\n- 标准：预设平衡体验（推荐新玩家）\n- 硬核：<Warning>永久关闭所有辅助功能</>\n\n<Bold>引导系统</>\n* 开启时提供：\n  - <Bold>交互高亮</>\n  - <Bold>路径指引</>\n  - <Bold>实时操作提示</>\n* <Warning>关闭后不可重新启用教程</>\n\n<Bold>辅助套件</>\n1. <Bold>智能存档</>（每5分钟自动存档）\n2. <Bold>谜题辅助</>（30秒后显示初级提示）\n3. <Bold>战斗辅助</>（危险动作触发0.75倍速）\n\n<Warning>重要警告</>\n* 硬核模式将锁定所有设置选项\n* 禁用智能存档可能导致进度丢失\n* 首次游玩建议开启全部引导功能\n\n<Bold>进阶提示</>\n→ 完成教程后进入设置界面\n→ 先关闭战斗辅助适应节奏\n→ 最后关闭路径指引挑战探索\n\n<Warning>配置须知</>\n变更设置后需重启当前关卡才能生效"
AutoTargetLockDescKey,"<Bold>自动切换锁定目标</>\n启用后自动追踪新进入视野的敌人：\n* 检测范围：<Number>15</>米锥形区域\n* 切换条件：目标进入视野<Number>0.5</>秒后\n* 优先级：距离最近>威胁值最高\n* 可调角度：<Number>30</>°~<Number>120</>°\n\n<Bold>工作机制</>\n* 目标死亡后<Number>0.3</>秒自动切换\n* 群战自动过滤血量<Number>10%</>以下目标\n* 镜头转动速度提升<Number>25%</>\n\n<Warning>使用注意</>\n* 开启后手动锁定需长按<Bold>LT键</>\n* 复杂地形可能意外切换目标\n* PvP场景禁用避免<Bold>锁定预测错误</>"
AutoAttackTargetLockDescKey,"<Bold>自动锁定攻击目标</>\n持续锁定当前目标直至脱离：\n* 视线丢失后维持<Number>3</>秒\n* 穿墙锁定：允许<Number>1.5</>米障碍物\n* 自动修正攻击方向偏移<Number>15</>°\n\n<Bold>高级设置</>\n* 锁定优先级：当前目标>仇恨最高\n* 切换冷却：<Number>1.2</>秒\n* Boss战锁定距离延长<Number>50%</>\n\n<Warning>平衡机制</>\n启用时：\n* 暴击率降低<Number>10%</>\n* 技能冷却增加<Number>0.5</>秒\n* 闪避消耗耐力增加<Number>20%</>\n\n<Warning>推荐配置</>\n* 单人游玩：建议开启\n* 团队副本：关闭避免OT\n* 竞技场：禁用保持操作自主性"
MasterVolumeDescKey,"音频设置中心：\n<Bold>主音量控制</> - 通过滑块调整所有声音元素的基准音量（范围：<Number>0</>~<Number>100</>），默认值<Number>75</>。\n\n特殊联动机制：\n* 背景音乐音量上限为主音量的<Number>80%</>\n* 环境音效受<Bold>动态压缩</>影响（高音量时自动降低<Number>15%</>）\n* 语音聊天独立增益上限<Number>+20%</>\n\n<Warning>听力保护提示</>\n持续暴露在<Number>85</>分贝以上可能造成听力损伤，建议：\n1. 日常游玩保持主音量≤<Number>70</>\n2. 佩戴耳机时启用<Bold>音量限制器</>（强制锁定≤<Number>60</>）\n\n<Bold>校准指南</>\n→ 在安静环境中播放测试音效\n→ 调整至刚好清晰听到<Number>20</>分贝提示音\n→ 保存后重启游戏使设置全局生效\n\n<Warning>注意</>：超过<Number>90</>将触发高频保护（自动过滤<Number>16000</>Hz以上音频）"
MusicVolumeDescKey,"<Bold>音乐音量控制</>\n独立调节背景音乐(BGM)强度，与主音量联动：\n* 基准音量为主音量的<Number>100%</>\n* 可通过此选项在<Number>-50%</>~<Number>+30%</>范围内偏移\n\n<Bold>特殊场景适配</>\n* 战斗状态：自动提升<Number>15%</>音量（可关闭）\n* 剧情过场：强制降低至<Number>80%</>避免台词覆盖\n\n<Warning>动态压缩警告</>\n当总音量超过<Number>95</>时：\n* 音乐将被压缩<Number>20%</>以保护听力\n* 压缩后最低保留<Number>40%</>原始音量\n\n<Bold>推荐设置</>\n→ 日常探索：保持<Number>0%</>偏移\n→ 音乐鉴赏：开启<Bold>独占模式</>（禁用动态压缩）\n→ 竞技对战：启用战斗增益\n\n<Warning>注意</>：开启独占模式可能触发音频过载"
EffectsVolumeDescKey,"<Bold>特效音量控制</>\n调节所有游戏内特效音频（如爆炸、技能等）的整体音量：\n* 范围：<Number>0%</>（静音）至<Number>100%</>（全开）\n* 默认值：<Number>70%</>\n\n<Bold>动态适配</>\n* 战斗状态下自动提升<Number>10%</>\n* 剧情过场时降低至<Number>50%</>\n\n<Warning>注意</>\n开启后可能导致某些高频特效过载，建议：\n1. 日常游玩保持<Number>60%</>\n2. 特效爱好者可尝试<Number>80%</>\n3. 竞技对战建议降低至<Number>40%</>\n\n<Bold>推荐设置</>\n→ 日常游玩：<Number>60%</>\n→ 特效爱好者：<Number>80%</>\n→ 竞技对战：<Number>40%</>\n\n<Warning>注意</>：开启后可能导致某些高频特效过载，建议：\n1. 日常游玩保持<Number>60%</>\n2. 特效爱好者可尝试<Number>80%</>\n3. 竞技对战建议降低至<Number>40%</>"
UserInterfaceVolumeDescKey,"<Bold>用户界面音量控制</>\n调节所有游戏内用户界面元素（如按钮、提示音等）的音量：\n* 范围：<Number>0%</>（静音）至<Number>100%</>（全开）\n* 默认值：<Number>50%</>\n\n<Bold>动态适配</>\n* 战斗状态下自动提升<Number>10%</>\n* 剧情过场时降低至<Number>30%</>\n\n<Warning>注意</>\n开启后可能导致某些高频特效过载，建议：\n1. 日常游玩保持<Number>40%</>\n2. 特效爱好者可尝试<Number>60%</>\n3. 竞技对战建议降低至<Number>30%</>\n\n<Bold>推荐设置</>\n→ 日常游玩：<Number>40%</>\n→ 特效爱好者：<Number>60%</>\n→ 竞技对战：<Number>30%</>\n\n<Warning>注意</>：开启后可能导致某些高频特效过载，建议：\n1. 日常游玩保持<Number>40%</>\n2. 特效爱好者可尝试<Number>60%</>\n3. 竞技对战建议降低至<Number>30%</>"
InGameMusicVolumeDescKey,"<Bold>游戏内音乐音量控制</>\n调节游戏内背景音乐的音量：\n* 范围：<Number>0%</>（静音）至<Number>100%</>（全开）\n* 默认值：<Number>60%</>\n\n<Bold>动态适配</>\n* 战斗状态下自动提升<Number>10%</>\n* 剧情过场时降低至<Number>50%</>\n\n<Warning>注意</>\n开启后可能导致某些高频特效过载，建议：\n1. 日常游玩保持<Number>50%</>\n2. 特效爱好者可尝试<Number>70%</>\n3. 竞技对战建议降低至<Number>40%</>\n\n<Bold>推荐设置</>\n→ 日常游玩：<Number>50%</>\n→ 特效爱好者：<Number>70%</>\n→ 竞技对战：<Number>40%</>\n\n<Warning>注意</>：开启后可能导致某些高频特效过载，建议：\n1. 日常游玩保持<Number>50%</>\n2. 特效爱好者可尝试<Number>70%</>\n3. 竞技对战建议降低至<Number>40%</>"
MenuMusicVolumeDescKey,"<Bold>菜单音乐音量控制</>\n调节游戏主菜单背景音乐的音量：\n* 范围：<Number>0%</>（静音）至<Number>100%</>（全开）\n* 默认值：<Number>50%</>\n\n<Bold>动态适配</>\n* 战斗状态下自动提升<Number>10%</>\n* 剧情过场时降低至<Number>30%</>\n\n<Warning>注意</>\n开启后可能导致某些高频特效过载，建议：\n1. 日常游玩保持<Number>40%</>\n2. 特效爱好者可尝试<Number>60%</>\n3. 竞技对战建议降低至<Number>30%</>\n\n<Bold>推荐设置</>\n→ 日常游玩：<Number>40%</>\n→ 特效爱好者：<Number>60%</>\n→ 竞技对战：<Number>30%</>\n\n<Warning>注意</>：开启后可能导致某些高频特效过载，建议：\n1. 日常游玩保持<Number>40%</>\n2. 特效爱好者可尝试<Number>60%</>\n3. 竞技对战建议降低至<Number>30%</>"
BackgroundMusicDescKey,"<Bold>背景音乐控制</>\n启用后游戏将播放背景音乐，禁用则静音所有背景音乐。\n\n<Bold>注意</>\n* 禁用后无法听到任何背景音乐\n* 建议新玩家开启以获得更好的沉浸感\n* 竞技玩家可选择禁用以减少干扰\n\n<Warning>警告</>\n禁用后无法恢复，请谨慎操作！"
